City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Honningsvag,NO,2022-06-09 19:26:29,70.9821,25.9704,279.01,70,75,7.2
173,North Berwick,GB,2022-06-09 19:26:30,56.0583,-2.7229,289.27,78,100,4.36
174,Kununurra,AU,2022-06-09 19:26:30,-15.7667,128.7333,293.14,32,12,2.57
175,Labuhan,ID,2022-06-09 19:26:30,-6.8844,112.2051,298.93,86,99,2.17
176,Cap-Aux-Meules,CA,2022-06-09 19:26:31,47.3821,-61.8597,286.18,94,100,4.12
177,Baijiantan,CN,2022-06-09 19:26:31,45.6333,85.1833,302.89,18,99,5.26
178,Acapulco,MX,2022-06-09 19:23:24,16.8634,-99.8901,303.05,66,100,3.6
179,Ciudad Bolivar,VE,2022-06-09 19:27:34,8.1222,-63.5497,305.96,44,100,4.87
180,Ziro,IN,2022-06-09 19:27:35,27.6333,93.8333,287.6,99,100,0.42
181,Bairiki,KI,2022-06-09 19:27:35,1.3292,172.9752,300.15,78,20,3.6
182,Port Hardy,CA,2022-06-09 19:27:36,50.6996,-127.4199,286.25,76,100,9.26
183,Katsuura,JP,2022-06-09 19:27:36,35.1333,140.3,292.31,85,44,2.28
184,Barlinek,PL,2022-06-09 19:27:37,52.9946,15.2186,291.81,87,78,3.13
185,Inhambane,MZ,2022-06-09 19:27:37,-23.865,35.3833,291.82,63,54,2.17
186,Jaca,ES,2022-06-09 19:27:37,42.569,-0.5499,297.59,66,0,3.09
187,Sur,OM,2022-06-09 19:27:38,22.5667,59.5289,306.66,48,0,5.97
188,Mahebourg,MU,2022-06-09 19:27:38,-20.4081,57.7,295.31,73,40,4.63
189,Nanortalik,GL,2022-06-09 19:27:39,60.1432,-45.2371,277.47,83,22,2.1
190,Codrington,AU,2022-06-09 19:27:39,-38.2667,141.9667,285.05,83,100,8.13
191,Taoudenni,ML,2022-06-09 19:27:40,22.6783,-3.9836,314.25,9,2,2.16
192,Norman Wells,CA,2022-06-09 19:27:40,65.282,-126.8329,282.17,71,75,2.06
193,Oga,IT,2022-06-09 19:27:41,46.4631,10.347,283.53,73,48,3.84
194,Thompson,CA,2022-06-09 19:22:45,55.7435,-97.8558,294.24,32,40,4.12
195,Hvide Sande,DK,2022-06-09 19:27:41,56.0045,8.1294,286.53,94,100,4.21
196,Abu Dhabi,AE,2022-06-09 19:23:45,24.4667,54.3667,307.21,68,0,2.06
197,Lavrentiya,RU,2022-06-09 19:27:42,65.5833,-171.0,278.77,62,9,3.37
198,Kamenka,RU,2022-06-09 19:27:42,51.3223,42.7678,288.43,75,0,1.46
199,Hasaki,JP,2022-06-09 19:27:43,35.7333,140.8333,290.37,79,64,2.97
200,Bonavista,CA,2022-06-09 19:27:44,48.6499,-53.1147,281.57,78,98,7.03
201,Komsomolskiy,UZ,2022-06-09 19:27:44,40.4272,71.7189,297.55,41,72,3.09
202,Bandarbeyla,SO,2022-06-09 19:25:18,9.4942,50.8122,299.97,77,78,12.54
203,Vao,NC,2022-06-09 19:27:45,-22.6667,167.4833,294.62,77,97,0.74
204,Leningradskiy,RU,2022-06-09 19:27:45,69.3833,178.4167,277.09,59,79,5.27
205,Vrangel,RU,2022-06-09 19:27:46,42.7297,133.0839,283.14,86,9,1.76
206,Khatanga,RU,2022-06-09 19:27:46,71.9667,102.5,280.27,75,100,6.43
207,Acarau,BR,2022-06-09 19:27:47,-2.8856,-40.12,299.25,84,100,5.51
208,Haines Junction,CA,2022-06-09 19:27:47,60.7522,-137.5108,285.12,71,100,0.51
209,Ahuimanu,US,2022-06-09 19:27:48,21.4447,-157.8378,301.02,62,75,3.6
210,Saldanha,ZA,2022-06-09 19:27:48,-33.0117,17.9442,284.18,81,10,5.33
211,San Patricio,US,2022-06-09 19:27:48,28.017,-97.5169,307.2,39,0,6.72
212,Alice Springs,AU,2022-06-09 19:27:49,-23.7,133.8833,273.9,100,54,0.0
213,Sitka,US,2022-06-09 19:27:49,57.0531,-135.33,287.09,62,75,6.17
214,Saint-Pierre,RE,2022-06-09 19:27:50,-21.3393,55.4781,293.66,88,75,5.14
215,Jocon,HN,2022-06-09 19:27:50,15.2833,-86.9667,300.9,49,100,1.77
216,Butaritari,KI,2022-06-09 19:27:51,3.0707,172.7902,300.31,78,83,7.77
217,Palauig,PH,2022-06-09 19:27:51,15.435,119.9045,300.68,78,97,1.24
218,Ancud,CL,2022-06-09 19:27:51,-41.8697,-73.8203,280.5,62,11,2.0
219,Kushiro,JP,2022-06-09 19:26:38,42.975,144.3747,282.8,95,30,3.4
220,Broken Hill,AU,2022-06-09 19:27:52,-31.95,141.4333,280.6,79,50,4.15
221,Aksu,CN,2022-06-09 19:27:52,41.1231,80.2644,299.11,27,100,6.54
222,Rabo De Peixe,PT,2022-06-09 19:27:53,37.8,-25.5833,292.88,94,20,5.66
223,Roald,NO,2022-06-09 19:27:53,62.5833,6.1333,292.13,82,75,7.72
224,Bilibino,RU,2022-06-09 19:27:54,68.0546,166.4372,288.47,46,66,1.37
225,Ponta Do Sol,PT,2022-06-09 19:27:54,32.6667,-17.1,297.43,84,87,0.55
226,Puerto Carreno,CO,2022-06-09 19:28:55,6.189,-67.4859,305.14,55,20,4.12
227,Kavieng,PG,2022-06-09 19:28:55,-2.5744,150.7967,299.85,71,40,2.45
228,Tsiroanomandidy,MG,2022-06-09 19:28:56,-18.7667,46.0333,291.56,64,90,2.07
229,Sorland,NO,2022-06-09 19:28:56,67.667,12.6934,281.07,69,6,5.42
230,Pangnirtung,CA,2022-06-09 19:28:57,66.1451,-65.7125,278.15,81,20,6.69
231,Mahajanga,MG,2022-06-09 19:28:57,-15.7167,46.3167,295.16,56,0,3.09
232,Naco,MX,2022-06-09 19:28:58,31.3347,-109.9483,308.78,20,0,1.73
233,Hofn,IS,2022-06-09 19:28:58,64.2539,-15.2082,281.64,70,100,8.54
234,Salinopolis,BR,2022-06-09 19:28:58,-0.6136,-47.3561,300.11,82,98,4.7
235,Esperance,AU,2022-06-09 19:29:02,-33.8667,121.9,287.88,59,100,8.23
236,Ranong,TH,2022-06-09 19:29:02,9.9658,98.6348,299.32,87,39,2.41
237,Biskamzha,RU,2022-06-09 19:29:03,53.4497,89.5272,278.53,83,100,2.41
238,Road Town,VG,2022-06-09 19:28:38,18.4167,-64.6167,304.2,70,20,4.12
239,Havoysund,NO,2022-06-09 19:29:03,70.9963,24.6622,279.28,79,100,10.13
240,Sosnovo-Ozerskoye,RU,2022-06-09 19:29:04,52.5249,111.5418,282.06,86,76,2.72
241,Deputatskiy,RU,2022-06-09 19:29:04,69.3,139.9,277.49,72,15,1.39
242,Lexington,US,2022-06-09 19:27:49,37.9887,-84.4777,297.27,56,40,2.57
243,Conceicao Do Araguaia,BR,2022-06-09 19:29:05,-8.2578,-49.2647,305.83,38,53,1.13
244,Cabo San Lucas,MX,2022-06-09 19:29:07,22.8909,-109.9124,303.49,57,0,3.6
245,Doha,QA,2022-06-09 19:26:19,25.2867,51.5333,314.14,13,0,6.17
246,Arman,RU,2022-06-09 19:29:07,59.7,150.1667,279.27,98,100,3.98
247,Huejuquilla El Alto,MX,2022-06-09 19:29:08,22.6,-103.8667,303.51,18,100,1.3
248,Lebu,CL,2022-06-09 19:29:08,-37.6167,-73.65,284.47,66,97,5.74
249,Matamoros,MX,2022-06-09 19:25:09,25.5333,-103.25,305.21,29,40,3.09
250,Banjar,ID,2022-06-09 19:29:09,-8.19,114.9675,297.83,87,100,1.32
251,Vuktyl,RU,2022-06-09 19:29:09,63.8567,57.3094,289.05,40,5,2.07
252,Umm Lajj,SA,2022-06-09 19:29:10,25.0213,37.2685,304.36,44,0,4.15
253,Yangjiang,CN,2022-06-09 19:26:55,21.85,111.9667,297.99,91,100,0.51
254,Ganzhou,CN,2022-06-09 19:29:11,28.8184,115.4327,295.79,92,100,1.75
255,Preston,GB,2022-06-09 19:29:11,53.7667,-2.7167,292.14,83,62,5.18
256,La Ronge,CA,2022-06-09 19:29:12,55.1001,-105.2842,297.29,23,75,7.72
257,Martapura,ID,2022-06-09 19:29:12,-3.4167,114.85,296.2,100,75,1.03
258,Batagay-Alyta,RU,2022-06-09 19:29:13,67.8006,130.4114,281.69,43,0,1.18
259,Iqaluit,CA,2022-06-09 19:29:13,63.7506,-68.5145,286.0,50,75,6.71
260,Quatre Cocos,MU,2022-06-09 19:29:14,-20.2078,57.7625,295.21,67,28,7.4
261,Sao Paulo De Olivenca,BR,2022-06-09 19:29:14,-3.3783,-68.8725,306.05,47,71,0.91
262,Alice Town,BS,2022-06-09 19:29:14,25.7167,-79.3,301.3,69,82,3.87
263,Whitefish,US,2022-06-09 19:28:58,48.4111,-114.3376,294.54,46,0,5.66
264,Palmer,US,2022-06-09 19:26:00,42.1584,-72.3287,301.06,55,75,9.26
265,Verkhoyansk,RU,2022-06-09 19:29:15,67.5447,133.385,283.5,39,0,0.96
266,Tiznit,MA,2022-06-09 19:29:16,29.5833,-9.5,298.3,51,0,2.29
267,Laguna,US,2022-06-09 19:29:16,38.421,-121.4238,306.66,34,0,5.66
268,Vardo,NO,2022-06-09 19:29:17,70.3705,31.1107,280.14,81,0,3.09
269,Chernenko,RU,2022-06-09 19:29:17,44.365,39.3103,290.07,98,100,1.25
270,Kulhudhuffushi,MV,2022-06-09 19:29:17,6.6221,73.07,301.12,75,100,3.73
271,Port Hedland,AU,2022-06-09 19:30:18,-20.3167,118.5667,296.18,43,80,6.17
272,Zhangye,CN,2022-06-09 19:30:21,38.9342,100.4517,292.76,24,0,2.74
273,Buin,CL,2022-06-09 19:30:21,-33.7333,-70.75,295.3,43,7,1.52
274,Zhangjiakou,CN,2022-06-09 19:30:22,40.81,114.8794,288.39,88,30,0.97
275,Rawatbhata,IN,2022-06-09 19:30:22,24.9333,75.5833,308.02,21,86,8.31
276,Rodrigues Alves,BR,2022-06-09 19:30:23,-7.738,-72.6509,303.26,77,61,1.57
277,Mwadui,TZ,2022-06-09 19:30:23,-3.55,33.6,295.06,60,96,1.69
278,Lubao,PH,2022-06-09 19:30:23,14.9167,120.55,299.99,87,88,1.09
279,Lalmohan,BD,2022-06-09 19:30:24,22.3384,90.7419,301.74,84,100,5.98
280,Suslovo,RU,2022-06-09 19:30:24,56.2167,88.1167,283.23,60,93,4.76
281,Matadi,CD,2022-06-09 19:30:25,-5.8167,13.45,297.86,69,57,1.9
282,Balaipungut,ID,2022-06-09 19:30:25,1.05,101.2833,296.37,98,99,1.06
283,Kasempa,ZM,2022-06-09 19:30:26,-13.4584,25.8338,284.63,74,2,2.03
284,Kilindoni,TZ,2022-06-09 19:30:27,-7.9139,39.6668,299.47,72,72,7.63
285,Sasovo,RU,2022-06-09 19:30:27,54.3537,41.9199,287.7,85,12,2.73
286,Kawalu,ID,2022-06-09 19:30:28,-7.3817,108.2082,294.83,94,97,1.42
287,Santa Isabel Do Rio Negro,BR,2022-06-09 19:30:28,-0.4139,-65.0192,302.29,70,87,1.89
288,Ilulissat,GL,2022-06-09 19:30:28,69.2167,-51.1,280.16,61,75,3.09
289,Farafangana,MG,2022-06-09 19:30:29,-22.8167,47.8333,291.89,83,10,1.06
290,Wajima,JP,2022-06-09 19:30:29,37.4,136.9,289.87,86,13,1.37
291,Aykhal,RU,2022-06-09 19:30:30,66.0,111.5,283.74,71,99,3.09
292,Kungurtug,RU,2022-06-09 19:30:30,50.5994,97.5228,275.45,95,41,0.6
293,Valdivia,CL,2022-06-09 19:30:32,-39.8142,-73.2459,280.2,70,96,1.13
294,Richards Bay,ZA,2022-06-09 19:30:32,-28.783,32.0377,292.78,77,0,4.69
